iter	Passed	Remaining
0	211	211115
1	213	106563
2	215	71607
3	217	54146
4	219	43707
5	221	36739
6	223	31758
7	225	28004
8	227	25090
9	229	22751
10	231	20851
11	233	19256
12	235	17905
13	237	16751
14	239	15738
15	241	14844
16	242	14050
17	244	13349
18	246	12733
19	248	12164
20	250	11657
21	251	11190
22	253	10763
23	255	10388
24	257	10027
25	258	9691
26	260	9375
27	261	9088
28	263	8816
29	264	8564
30	266	8331
31	268	8122
32	270	7917
33	271	7724
34	273	7540
35	275	7366
36	277	7211
37	279	7070
38	281	6937
39	284	6822
40	286	6696
41	287	6568
42	289	6446
43	291	6328
44	292	6212
45	294	6106
46	296	6003
47	297	5905
48	299	5814
49	301	5725
50	302	5637
51	304	5554
52	306	5473
53	307	5394
54	309	5319
55	311	5244
56	312	5174
57	314	5107
58	316	5040
59	317	4976
60	319	4914
61	320	4855
62	322	4798
63	324	4742
64	325	4689
65	327	4634
66	329	4586
67	330	4527
68	331	4478
69	333	4431
70	335	4386
71	336	4342
72	338	4298
73	340	4256
74	341	4213
75	343	4174
76	345	4136
77	346	4097
78	348	4061
79	349	4024
80	351	3988
81	353	3954
82	354	3921
83	356	3888
84	357	3853
85	359	3825
86	361	3791
87	363	3762
88	364	3733
89	366	3704
90	368	3677
91	369	3650
92	371	3623
93	373	3598
94	375	3572
95	376	3547
96	378	3522
97	379	3497
98	381	3472
99	383	3448
100	384	3424
101	385	3395
102	387	3374
103	389	3354
104	391	3333
105	392	3312
106	394	3290
107	395	3270
108	397	3250
109	399	3229
110	400	3210
111	402	3191
112	404	3174
113	406	3156
114	407	3137
115	409	3117
116	410	3099
117	412	3081
118	413	3062
119	415	3045
120	417	3029
121	418	3013
122	419	2993
123	421	2978
124	423	2963
125	424	2947
126	426	2932
127	427	2913
128	429	2898
129	430	2883
130	432	2870
131	434	2856
132	436	2842
133	437	2828
134	439	2814
135	440	2801
136	442	2787
137	443	2772
138	445	2759
139	447	2746
140	448	2734
141	450	2721
142	452	2708
143	453	2696
144	455	2684
145	456	2672
146	458	2661
147	460	2649
148	461	2638
149	463	2627
150	465	2616
151	466	2604
152	468	2593
153	470	2582
154	471	2571
155	473	2560
156	474	2549
157	476	2539
158	478	2529
159	479	2519
160	481	2509
161	483	2498
162	484	2487
163	486	2478
164	487	2468
165	489	2459
166	491	2449
167	492	2440
168	494	2431
169	495	2421
170	497	2412
171	499	2402
172	500	2393
173	502	2385
174	504	2376
175	505	2367
176	507	2359
177	509	2351
178	510	2342
179	512	2333
180	513	2321
181	514	2313
182	516	2305
183	518	2297
184	519	2289
185	521	2281
186	522	2273
187	524	2265
188	526	2257
189	527	2249
190	529	2242
191	530	2234
192	532	2227
193	534	2219
194	535	2211
195	537	2205
196	539	2197
197	540	2190
198	542	2182
199	543	2175
200	545	2168
201	546	2160
202	548	2153
203	550	2146
204	551	2139
205	553	2133
206	554	2126
207	556	2119
208	558	2112
209	559	2105
210	561	2098
211	562	2092
212	564	2085
213	566	2079
214	567	2072
215	569	2066
216	570	2060
217	572	2053
218	574	2047
219	575	2040
220	577	2034
221	578	2028
222	580	2022
223	582	2016
224	583	2010
225	585	2004
226	586	1998
227	588	1992
228	589	1986
229	591	1980
230	593	1975
231	594	1969
232	596	1963
233	598	1958
234	599	1951
235	601	1946
236	602	1940
237	604	1934
238	605	1929
239	607	1923
240	609	1918
241	610	1912
242	612	1907
243	613	1902
244	615	1896
245	617	1891
246	618	1886
247	620	1880
248	621	1875
249	623	1870
250	624	1864
251	626	1860
252	628	1854
253	629	1850
254	631	1845
255	633	1840
256	635	1835
257	636	1831
258	638	1826
259	639	1821
260	641	1816
261	643	1811
262	644	1807
263	646	1802
264	648	1797
265	649	1792
266	651	1787
267	652	1783
268	654	1778
269	656	1773
270	657	1769
271	659	1763
272	660	1758
273	662	1754
274	663	1749
275	665	1745
276	666	1740
277	668	1736
278	670	1732
279	671	1727
280	673	1723
281	675	1718
282	676	1714
283	678	1710
284	679	1705
285	681	1701
286	682	1696
287	684	1692
288	686	1688
289	687	1683
290	689	1679
291	691	1675
292	692	1671
293	694	1667
294	696	1663
295	697	1659
296	699	1655
297	700	1650
298	702	1646
299	703	1642
300	705	1638
301	707	1634
302	708	1630
303	710	1626
304	712	1622
305	713	1618
306	715	1615
307	717	1611
308	719	1607
309	720	1604
310	722	1600
311	723	1596
312	725	1592
313	727	1588
314	728	1584
315	730	1580
316	732	1577
317	733	1573
318	735	1570
319	737	1566
320	738	1562
321	740	1559
322	742	1556
323	744	1553
324	746	1550
325	748	1547
326	750	1543
327	751	1540
328	753	1537
329	755	1534
330	757	1530
331	758	1526
332	760	1523
333	762	1520
334	764	1516
335	765	1513
336	767	1509
337	769	1506
338	771	1504
339	773	1501
340	775	1498
341	776	1494
342	778	1491
343	780	1487
344	781	1484
345	783	1481
346	785	1477
347	786	1474
348	788	1471
349	790	1468
350	792	1464
351	793	1461
352	795	1458
353	797	1454
354	798	1451
355	800	1448
356	802	1444
357	803	1441
358	805	1438
359	807	1434
360	808	1431
361	810	1428
362	812	1425
363	813	1422
364	815	1418
365	817	1415
366	818	1412
367	820	1409
368	822	1406
369	823	1402
370	825	1399
371	827	1396
372	828	1393
373	830	1390
374	832	1386
375	833	1383
376	835	1380
377	836	1377
378	838	1373
379	839	1370
380	840	1366
381	842	1362
382	843	1359
383	845	1356
384	846	1352
385	848	1349
386	850	1346
387	851	1343
388	852	1339
389	854	1336
390	856	1333
391	858	1330
392	859	1327
393	861	1324
394	862	1321
395	864	1318
396	865	1315
397	867	1311
398	868	1308
399	870	1305
400	871	1302
401	873	1299
402	874	1296
403	876	1292
404	877	1289
405	879	1286
406	881	1283
407	882	1280
408	883	1277
409	885	1273
410	886	1270
411	887	1267
412	889	1264
413	890	1261
414	892	1258
415	894	1255
416	895	1252
417	896	1248
418	898	1245
419	900	1242
420	901	1239
421	902	1236
422	904	1233
423	905	1230
424	907	1227
425	908	1224
426	910	1221
427	911	1218
428	913	1215
429	914	1212
430	916	1209
431	917	1206
432	919	1203
433	920	1200
434	922	1197
435	923	1194
436	925	1192
437	926	1189
438	928	1186
439	929	1183
440	931	1180
441	932	1177
442	934	1174
443	935	1171
444	937	1168
445	938	1166
446	940	1163
447	941	1160
448	943	1157
449	944	1154
450	946	1151
451	947	1148
452	949	1146
453	950	1143
454	952	1140
455	953	1137
456	955	1134
457	956	1131
458	957	1129
459	959	1126
460	960	1123
461	962	1120
462	963	1117
463	965	1115
464	966	1112
465	968	1109
466	969	1106
467	971	1104
468	972	1101
469	974	1098
470	975	1096
471	977	1093
472	978	1090
473	980	1087
474	981	1085
475	983	1082
476	984	1079
477	986	1077
478	987	1074
479	989	1071
480	990	1068
481	992	1066
482	993	1063
483	995	1061
484	996	1058
485	998	1055
486	999	1052
487	1000	1050
488	1002	1047
489	1003	1044
490	1005	1042
491	1006	1039
492	1008	1037
493	1009	1034
494	1011	1031
495	1012	1029
496	1014	1026
497	1015	1023
498	1016	1021
499	1018	1018
500	1019	1015
501	1021	1013
502	1022	1010
503	1024	1008
504	1025	1005
505	1027	1002
506	1028	1000
507	1030	997
508	1031	995
509	1033	992
510	1034	990
511	1036	987
512	1037	985
513	1039	982
514	1040	980
515	1042	977
516	1043	975
517	1045	972
518	1046	970
519	1048	967
520	1049	965
521	1051	962
522	1052	960
523	1054	957
524	1055	955
525	1057	952
526	1058	950
527	1060	947
528	1061	945
529	1062	942
530	1064	940
531	1065	937
532	1067	935
533	1068	932
534	1070	930
535	1071	927
536	1073	925
537	1074	922
538	1076	920
539	1077	917
540	1079	915
541	1080	913
542	1082	910
543	1083	908
544	1085	905
545	1086	903
546	1087	900
547	1089	898
548	1091	896
549	1092	894
550	1094	892
551	1096	889
552	1097	887
553	1099	884
554	1100	882
555	1102	880
556	1103	877
557	1105	875
558	1106	873
559	1108	870
560	1109	868
561	1111	865
562	1112	863
563	1114	861
564	1115	858
565	1116	856
566	1118	854
567	1120	851
568	1121	849
569	1123	847
570	1124	844
571	1126	842
572	1127	840
573	1128	837
574	1130	835
575	1131	833
576	1133	830
577	1134	828
578	1136	826
579	1137	823
580	1139	821
581	1140	819
582	1142	816
583	1143	814
584	1145	812
585	1146	810
586	1148	807
587	1149	805
588	1151	803
589	1152	800
590	1154	798
591	1155	796
592	1156	794
593	1158	791
594	1160	789
595	1161	787
596	1162	785
597	1164	782
598	1165	780
599	1167	778
600	1168	775
601	1170	773
602	1171	771
603	1173	769
604	1174	767
605	1176	764
606	1177	762
607	1179	760
